SG_UF,SG_PARTIDO,NM_PARTIDO,NM_FORNECEDOR,DT_PAGAMENTO,VR_GASTO,DS_GASTO_CONCAT
PI,PDT,PARTIDO DEMOCRÁTICO TRABALHISTA,FLAVIO RODRIGUES NOGUEIRA,2018-09-10,100000,TRANSFERÊNCIAS EFETUADAS - ASSUNÇÃO DE OBRIGAÇÕES - RECURSOS ESTIMÁVEIS EM DINHEIRO CANDIDATO
PI,PL,PARTIDO LIBERAL,MULTIPLA EVENTOS MARKETING E CONS EMPRESARIAL EIRELI,2018-10-31,80000,EVENTOS PROMOCIONAIS - MULHERES
PI,PL,PARTIDO LIBERAL,SAMUEL BAHIA NOVAIS,2018-06-13,70000,EVENTOS PROMOCIONAIS - ORDINÁRIAS
PI,PTB,PARTIDO TRABALHISTA BRASILEIRO,HORIZONTE INTELIGENCIA PESQUISA LTDA,2018-10-05,70000,PESQUISAS E TESTES DE OPINIÃO PÚBLICA - ORDINÁRIAS
PI,PDT,PARTIDO DEMOCRÁTICO TRABALHISTA,FLAVIO RODRIGUES NOGUEIRA,2018-09-28,66500,TRANSFERÊNCIAS EFETUADAS - ASSUNÇÃO DE OBRIGAÇÕES - RECURSOS ESTIMÁVEIS EM DINHEIRO CANDIDATO
PI,PP,PROGRESSISTAS,FABIO ALENCAR LUZ- ME,2018-07-26,62500,ATIVO PERMANENTE - BENS MÓVEIS - EQUIPAMENTOS DE SONORIZAÇÃO
PI,PP,PROGRESSISTAS,WASHINGTON L DE S BONFIM EIRELI - ME,2018-08-01,60000,SERVIÇOS TÉCNICO-PROFISSIONAIS - OUTROS SERVIÇOS TÉCNICOS E PROFISSIONAIS - ORDINÁRIAS
PI,PDT,PARTIDO DEMOCRÁTICO TRABALHISTA,JOVENILIA ALVES OLIVEIRA,2018-09-13,58500,TRANSFERÊNCIAS EFETUADAS - ASSUNÇÃO DE OBRIGAÇÕES - RECURSOS ESTIMÁVEIS EM DINHEIRO CANDIDATO
PR,PSL,PARTIDO SOCIAL LIBERAL,PH EVENTOS E LOCAÇÃO DE MÃO DE OBRA LTDA,2018-07-03,150000,PESSOAL - OUTRAS DESPESAS COM PESSOAL - ORDINÁRIAS
PR,PSD,PARTIDO SOCIAL DEMOCRÁTICO,Direção Municipal/Comissão Provisória - PSD - MARINGÁ - PR,2018-03-22,147000,TRANSFERÊNCIAS FINANCEIRAS EFETUADAS - FUNDO PARTIDÁRIO - DIREÇÃO MUNICIPAL - ORDINÁRIAS
PR,PSD,PARTIDO SOCIAL DEMOCRÁTICO,Direção Municipal/Comissão Provisória - PSD - ROLÂNDIA - PR,2018-03-05,147000,TRANSFERÊNCIAS FINANCEIRAS EFETUADAS - FUNDO PARTIDÁRIO - DIREÇÃO MUNICIPAL - ORDINÁRIAS
PR,PT,PARTIDO DOS TRABALHADORES,BANCO DO BRASIL S/A,2018-09-19,145143,ADIANTAMENTOS DIVERSOS - OUTROS ADIANTAMENTOS DIVERSOS
PR,SDD,SOLIDARIEDADE,SERZEGRAF INDUSTRIA EDITORA GRÁFICA LTDA,2018-01-12,130350,PUBLICAÇÕES - ORDINÁRIAS
PR,SDD,SOLIDARIEDADE,PH EVENTOS E LOCAÇÃO DE MÃO DE OBRA LTDA,2018-01-24,109689.25,EVENTOS PROMOCIONAIS - ORDINÁRIAS
PR,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,Direção Nacional - PSDB,2018-08-13,100000,TRANSFERÊNCIAS FINANCEIRAS EFETUADAS - FUNDO PARTIDÁRIO - DIREÇÃO NACIONAL - ORDINÁRIAS
PR,SDD,SOLIDARIEDADE,IRMÃOS MADALOSSO LTDA,2018-01-10,92720,EVENTOS PROMOCIONAIS - ORDINÁRIAS
PR,PT,PARTIDO DOS TRABALHADORES,COSTA SERVIÇOS DE RECEPÇÃO PERSONALIZADA - EIRELE - EPP,2018-07-01,89600,SEGURANÇA E VIGILÂNCIA - ORDINÁRIAS
PR,PT,PARTIDO DOS TRABALHADORES,COSTA SERVIÇOS DE RECEPÇÃO PERSONALIZADA - EIRELE - EPP,2018-08-29,80940,SEGURANÇA E VIGILÂNCIA - ORDINÁRIAS
RJ,DEM,DEMOCRATAS,Direção Municipal/Comissão Provisória - DC - VALENÇA - RJ,2018-03-06,301400,TRANSFERÊNCIAS FINANCEIRAS EFETUADAS - FUNDO PARTIDÁRIO - DIREÇÃO MUNICIPAL - ORDINÁRIAS
RJ,PL,PARTIDO LIBERAL,BANCO DO BRASIL S.A.,2018-07-18,292864.48,DEPÓSITOS RESTITUÍVEIS E VALORES VINCULADOS - DEPÓSITOS JUDICIAIS
RJ,PP,PROGRESSISTAS,PROSYNC PRODUÇÕES AUDIOVISUAIS LTDA,2018-09-28,260000,PROPAGANDA E PUBLICIDADE - ORDINÁRIAS
RJ,PT,PARTIDO DOS TRABALHADORES,EDITORA LIVRE CULTURA LTDA - EPP,2017-12-31,200000,DESPESAS JUDICIAIS - ORDINÁRIAS
RJ,PDT,PARTIDO DEMOCRÁTICO TRABALHISTA,EDIGRÁFICA - GRÁFICA E EDITORA LTDA.,2018-08-20,130000,MATERIAL DE CONSUMO - MATERIAIS IMPRESSOS - ORDINÁRIAS
RJ,PSOL,PARTIDO SOCIALISMO E LIBERDADE,E MELO J DURAES S CASTRO ADVOGADAS,2018-09-05,100000,SERVIÇOS TÉCNICO-PROFISSIONAIS - SERVIÇOS DE CONSULTORIA JURÍDICA - ORDINÁRIAS
RJ,PSC,PARTIDO SOCIAL CRISTÃO,REIS CONSULTORIA AUDITORIA AUDITORES INDEPENDENTES MM,2018-09-06,93850,SERVIÇOS TÉCNICO-PROFISSIONAIS - SERVIÇOS CONTÁBEIS - ORDINÁRIAS
RJ,PSC,PARTIDO SOCIAL CRISTÃO,CENTRAL DO BRASIL PRODUÇÕES LTDA,2017-12-31,89000,PRODUÇÃO DE AUDIOVISUAIS - ORDINÁRIAS
RJ,PSB,PARTIDO SOCIALISTA BRASILEIRO,PRO-EMPRESA INFORMÁTICA EIRELI,2018-08-02,78178.07,SERVIÇOS TÉCNICO-PROFISSIONAIS - OUTROS SERVIÇOS TÉCNICOS E PROFISSIONAIS - ORDINÁRIAS
RJ,PSC,PARTIDO SOCIAL CRISTÃO,ATHIAS SERVIÇOS DE COMUNICAÇÃO LTDA ME,2018-06-01,73000,SERVIÇOS TÉCNICO-PROFISSIONAIS - OUTROS SERVIÇOS TÉCNICOS E PROFISSIONAIS - ORDINÁRIAS
RN,PL,PARTIDO LIBERAL,ROSSITER ROCHA E CAPISTRANO ADVOGADOS,2017-12-31,204000,OUTRAS DESPESAS GERAIS - ORDINÁRIAS
RN,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,PROF EZEQUIAS PEGADO CORTEZ CONSULTORIA,2018-01-02,152524,SERVIÇOS TÉCNICO-PROFISSIONAIS - SERVIÇOS DE CONSULTORIA JURÍDICA - ORDINÁRIAS
RN,PSB,PARTIDO SOCIALISTA BRASILEIRO,ERIVALDO TRINDADE DE ARAUJO ME,2018-08-29,72000,PESQUISAS E TESTES DE OPINIÃO PÚBLICA - ORDINÁRIAS
RN,DEM,DEMOCRATAS,Direção Nacional - DEM,2018-09-21,70000,TRANSFERÊNCIAS FINANCEIRAS EFETUADAS - FUNDO PARTIDÁRIO - DIREÇÃO NACIONAL - ORDINÁRIAS
RN,PL,PARTIDO LIBERAL,"VALOREM - ESTUDOS, ESTRATEGIA, GESTÃO E NEGOCIOS LTDA",2018-08-10,70000,OUTROS ORDINÁRIAS
RN,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,JURANDIR DOS SANTOS,2018-01-02,69000,SERVIÇOS TÉCNICO-PROFISSIONAIS - OUTROS SERVIÇOS TÉCNICOS E PROFISSIONAIS - ORDINÁRIAS
RN,PODE,PODEMOS,RODRIGO NASCIMENTO DANTAS,2018-01-02,65000,SERVIÇOS TÉCNICO-PROFISSIONAIS - SERVIÇOS CONTÁBEIS - ORDINÁRIAS
RN,PL,PARTIDO LIBERAL,PRISMA CARTUCHO COMERCIO E SERVIÇOS DE INFORMÁTICA LTDA,2018-04-27,57980,MATERIAL DE CONSUMO - OUTROS MATERIAIS DE CONSUMO - ORDINÁRIAS
RN,PSD,PARTIDO SOCIAL DEMOCRÁTICO,GUIMARAES PESQUISAS E CONSULTORIA LTDA,2018-03-23,52500,PESQUISAS E TESTES DE OPINIÃO PÚBLICA - ORDINÁRIAS
RN,PP,PROGRESSISTAS,Direção Municipal/Comissão Provisória - PP - MOSSORÓ - RN,2018-09-05,52000,TRANSFERÊNCIAS FINANCEIRAS EFETUADAS - FUNDO PARTIDÁRIO - DIREÇÃO MUNICIPAL - ORDINÁRIAS
RO,REPUBLICANOS,REPUBLICANOS,NELSON CANEDO ADVOGADOS ASSOCIADOS,2018-10-04,100000,SERVIÇOS TÉCNICO-PROFISSIONAIS - SERVIÇOS DE CONSULTORIA JURÍDICA - MULHERES
RO,PT,PARTIDO DOS TRABALHADORES,CONTAGEM CONTABILIDADE,2018-12-31,96054,SERVIÇOS TÉCNICO-PROFISSIONAIS - SERVIÇOS CONTÁBEIS - ORDINÁRIAS
RO,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,CAMILO DE SOUZA PIMENTEL,2018-04-30,70000,SERVIÇOS TÉCNICO-PROFISSIONAIS - SERVIÇOS CONTÁBEIS - ORDINÁRIAS
RO,REPUBLICANOS,REPUBLICANOS,W. G. DOS SANTOS - ME,2018-08-27,66000,MATERIAL DE CONSUMO - MATERIAIS IMPRESSOS - MULHERES
RO,PSB,PARTIDO SOCIALISTA BRASILEIRO,CONTAGEM CONTABILIDADE,2018-12-31,61236.51,OUTRAS DESPESAS GERAIS - ORDINÁRIAS
RO,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,"IHPEC - INSTITUTO HAVERROTH DE POLITICA, ESTATÍSTICA E COMUNICAÇÃO",2018-05-09,50000,PESQUISAS E TESTES DE OPINIÃO PÚBLICA - ORDINÁRIAS
RO,PL,PARTIDO LIBERAL,"IHPEC - INSTITUTO HAVERROTH DE POLITICA, ESTATÍSTICA E COMUNICAÇÃO LTDA - ME.",2018-03-10,50000,SERVIÇOS TÉCNICO-PROFISSIONAIS - OUTROS SERVIÇOS TÉCNICOS E PROFISSIONAIS - ORDINÁRIAS
RO,PSB,PARTIDO SOCIALISTA BRASILEIRO,CONTAGEM CONTABILIDADE,2018-12-31,49112.37,PESSOAL - OUTRAS DESPESAS COM PESSOAL - ORDINÁRIAS
RO,PSB,PARTIDO SOCIALISTA BRASILEIRO,CONTAGEM CONTABILIDADE,2018-12-31,48200,SERVIÇOS TÉCNICO-PROFISSIONAIS - OUTROS SERVIÇOS TÉCNICOS E PROFISSIONAIS - ORDINÁRIAS
RO,PTB,PARTIDO TRABALHISTA BRASILEIRO,RODA VIVA INDUSTRIA GRÁFICA E EDITORA EIRELLI,2018-07-10,42060,MATERIAL DE CONSUMO - MATERIAIS IMPRESSOS - ORDINÁRIAS
RR,REPUBLICANOS,REPUBLICANOS,Direção Estadual/Distrital - PSL - RORAIMA,2018-08-30,500000,TRANSFERÊNCIAS FINANCEIRAS EFETUADAS - FUNDO PARTIDÁRIO - DIREÇÃO ESTADUAL - ORDINÁRIAS
RR,REPUBLICANOS,REPUBLICANOS,MADALHANO & NUNES LTDA,2018-08-07,200000,PROPAGANDA E PUBLICIDADE - ORDINÁRIAS
RR,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,SEMALO COMBUSTÍVEIS LTDA,2017-12-31,110865,"TRANSPORTES E VIAGENS - COMBUSTÍVEIS, ÓLEOS E LUBRIFICANTES - ORDINÁRIAS"
RR,PP,PROGRESSISTAS,TARP TÁXI AÉREO LTDA. EPP,2018-07-03,107548.5,TRANSPORTES E VIAGENS - FRETAMENTO DE AERONAVES - ORDINÁRIAS
RR,PP,PROGRESSISTAS,TARP TÁXI AÉREO LTDA. EPP,2018-03-19,97559,TRANSPORTES E VIAGENS - FRETAMENTO DE AERONAVES - ORDINÁRIAS
RR,REPUBLICANOS,REPUBLICANOS,F M HOLANDA EIRELI-ME,2018-08-09,69950,PROPAGANDA E PUBLICIDADE - ORDINÁRIAS
RR,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,SEMALO COMBUSTÍVEIS LTDA,2017-12-31,64185,"TRANSPORTES E VIAGENS - COMBUSTÍVEIS, ÓLEOS E LUBRIFICANTES - ORDINÁRIAS"
RR,REPUBLICANOS,REPUBLICANOS,Direção Municipal/Comissão Provisória - PRB - BOA VISTA - RR,2018-10-04,56000,TRANSFERÊNCIAS FINANCEIRAS EFETUADAS - FUNDO PARTIDÁRIO - DIREÇÃO MUNICIPAL - ORDINÁRIAS
RR,REPUBLICANOS,REPUBLICANOS,FORBRAS RORAIMA LTDA,2018-05-21,55390,MATERIAIS PARA COMERCIALIZAÇÃO / DISTRIBUIÇÃO - ORDINÁRIAS
RR,REPUBLICANOS,REPUBLICANOS,F DA S. RABELO EPP,2018-09-06,50000,PESQUISAS E TESTES DE OPINIÃO PÚBLICA - ORDINÁRIAS
RS,PT,PARTIDO DOS TRABALHADORES,INSTITUTO NACIONAL DE SEGURIDADE SOCIAL - INSS,2017-12-31,1305188.22,PESSOAL - PREVIDÊNCIA SOCIAL - ORDINÁRIAS
RS,PT,PARTIDO DOS TRABALHADORES,INSTITUTO NACIONAL DE SEGURIDADE SOCIAL - INSS,2017-12-31,655617.51,PESSOAL - PREVIDÊNCIA SOCIAL - ORDINÁRIAS
RS,PT,PARTIDO DOS TRABALHADORES,SECRETARIA DA RECEITA FEDERAL DO BRASIL,2017-12-31,315169.06,PESSOAL - IRRF - ORDINÁRIAS
RS,PT,PARTIDO DOS TRABALHADORES,PROCURADORIA GERAL DA FAZENDA NACIONAL - PGFN,2017-12-31,278063.32,PESSOAL - IRRF - ORDINÁRIAS
RS,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,FABER PUBLICIDADE LTDA,2018-04-15,264000,OUTRAS DESPESAS COM PROPAGANDA DOUTRINÁRIA E POLÍTICA - ORDINÁRIAS
RS,PT,PARTIDO DOS TRABALHADORES,SECRETARIA DA RECEITA FEDERAL DO BRASIL,2017-12-31,231210.95,PESSOAL - IRRF - ORDINÁRIAS
RS,PT,PARTIDO DOS TRABALHADORES,SECRETARIA DA RECEITA FEDERAL DO BRASIL,2017-12-31,154088.47,PESSOAL - PREVIDÊNCIA SOCIAL - ORDINÁRIAS
RS,PPS,PARTIDO POPULAR SOCIALISTA,ERES EMPREENDIMENTOS E IMÓVEIS LTDA.,2017-12-31,111150.14,ALUGUÉIS E CONDOMÍNIOS - LOCAÇÃO DE BENS IMÓVEIS - ORDINÁRIAS
RS,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,ADVOCACIA GERAL DA UNIAO ,2018-06-12,100866.97,DESPESAS JUDICIAIS - ORDINÁRIAS
RS,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,MOREIRA - CONCEITO EM COMUNICAÇÃO,2018-04-15,100000,OUTRAS DESPESAS COM PROPAGANDA DOUTRINÁRIA E POLÍTICA - ORDINÁRIAS
SC,PSD,PARTIDO SOCIAL DEMOCRÁTICO,CINNEMA PRODUÇÕES DE FILMES EIRLI,2018-10-09,662500,OUTRAS DESPESAS COM PROPAGANDA DOUTRINÁRIA E POLÍTICA - MULHERES
SC,PSD,PARTIDO SOCIAL DEMOCRÁTICO,CINNEMA PRODUÇÕES DE FILMES EIRLI,2018-09-04,519000,OUTRAS DESPESAS COM PROPAGANDA DOUTRINÁRIA E POLÍTICA - MULHERES
SC,PSD,PARTIDO SOCIAL DEMOCRÁTICO,CENTROSIGNS - COMUNICAÇÃO VISUAL LTDA.,2018-09-18,390000,OUTRAS DESPESAS COM PROPAGANDA DOUTRINÁRIA E POLÍTICA - MULHERES
SC,PSD,PARTIDO SOCIAL DEMOCRÁTICO,BIGUA COMPLEMENTOS PARA O LAR LTDA.,2018-09-18,252000,OUTRAS DESPESAS COM PROPAGANDA DOUTRINÁRIA E POLÍTICA - MULHERES
SC,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,ENGENHARIA DE EVENTOS EIRELI,2018-08-14,180763.85,CONVENÇÕES PARTIDÁRIAS - ORDINÁRIAS
SC,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,METRONORTE COMERCIAL DE VEÍCULOS LTDA,2018-05-24,150000,ATIVO PERMANENTE - BENS MÓVEIS - VEÍCULOS
SC,PSD,PARTIDO SOCIAL DEMOCRÁTICO,HEADLINE PRODUÇÕES LTDA.,2018-09-05,100000,OUTRAS DESPESAS COM PROPAGANDA DOUTRINÁRIA E POLÍTICA - MULHERES
SC,PSD,PARTIDO SOCIAL DEMOCRÁTICO,IQUALY - TEC. EM PESQ. E H. DE CONSUMO EIRELI,2018-09-20,100000,OUTRAS DESPESAS COM PROPAGANDA DOUTRINÁRIA E POLÍTICA - MULHERES
SC,PT,PARTIDO DOS TRABALHADORES,SETCOM,2018-07-27,100000,PRODUÇÃO DE AUDIOVISUAIS - ORDINÁRIAS
SC,PSD,PARTIDO SOCIAL DEMOCRÁTICO,MENEZES NIEBUHR ADVOGADOS ASSOCIADOS,2018-10-26,95000,SERVIÇOS TÉCNICO-PROFISSIONAIS - SERVIÇOS DE CONSULTORIA JURÍDICA - MULHERES
SE,PSB,PARTIDO SOCIALISTA BRASILEIRO,R 5 COMUNICAÇÃO & MARKETING - EIRELI - EPP,2018-08-28,206400,PROPAGANDA E PUBLICIDADE - MULHERES
SE,PSB,PARTIDO SOCIALISTA BRASILEIRO,R 5 COMUNICAÇÃO & MARKETING - EIRELI - EPP,2018-09-24,180000,RÁDIO E TELEVISÃO - MULHERES
SE,PSB,PARTIDO SOCIALISTA BRASILEIRO,ALTO PADRÃO SERVIÇOS GRÁFICOS LTDA,2018-09-26,138450,PROPAGANDA E PUBLICIDADE - MULHERES
SE,PT,PARTIDO DOS TRABALHADORES,BANESE BANCO DO ESTADO DE SERGIPE,2018-07-17,99673.92,DEPÓSITOS RESTITUÍVEIS E VALORES VINCULADOS - DEPÓSITOS JUDICIAIS
SE,PSB,PARTIDO SOCIALISTA BRASILEIRO,Direção Municipal/Comissão Provisória - PSB - ARACAJU - SE,2018-04-20,80000,TRANSFERÊNCIAS FINANCEIRAS EFETUADAS - FUNDO PARTIDÁRIO - DIREÇÃO MUNICIPAL - ORDINÁRIAS
SE,PSB,PARTIDO SOCIALISTA BRASILEIRO,R 5 COMUNICAÇÃO & MARKETING - EIRELI - EPP,2018-07-19,72000,PROPAGANDA E PUBLICIDADE - ORDINÁRIAS
SE,REPUBLICANOS,REPUBLICANOS,ANDREA E ROMERO GRAFICA E COMERCIO LTDA,2018-10-17,64375,MATERIAL DE CONSUMO - MATERIAIS IMPRESSOS - ORDINÁRIAS
SE,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,PADRAO PESQUISA CIENTIFICAS LTDA,2018-07-06,60000,SERVIÇOS TÉCNICO-PROFISSIONAIS - OUTROS SERVIÇOS TÉCNICOS E PROFISSIONAIS - ORDINÁRIAS
SE,PT,PARTIDO DOS TRABALHADORES,BANESE BANCO DO ESTADO DE SERGIPE,2018-09-10,57630.17,DEPÓSITOS RESTITUÍVEIS E VALORES VINCULADOS - DEPÓSITOS JUDICIAIS
SE,PT,PARTIDO DOS TRABALHADORES,BANESE BANCO DO ESTADO DE SERGIPE,2018-07-17,52573.65,DEPÓSITOS RESTITUÍVEIS E VALORES VINCULADOS - DEPÓSITOS JUDICIAIS
SP,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,NOVA ESTRATEGIA COMUNICACAO LTDA.,2018-07-03,1000000,SERVIÇOS TÉCNICO-PROFISSIONAIS - OUTROS SERVIÇOS TÉCNICOS E PROFISSIONAIS - ORDINÁRIAS
SP,PSB,PARTIDO SOCIALISTA BRASILEIRO,Direção Municipal/Comissão Provisória - PSB - SÃO VICENTE - SP,2018-02-01,900000,TRANSFERÊNCIAS FINANCEIRAS EFETUADAS - FUNDO PARTIDÁRIO - DIREÇÃO MUNICIPAL - ORDINÁRIAS
SP,PSB,PARTIDO SOCIALISTA BRASILEIRO,PSB DIRETORIO MUNICIPAL DE SAO VICENTE,2018-03-12,750000,OUTRAS DESPESAS GERAIS - ORDINÁRIAS
SP,DEM,DEMOCRATAS,Direção Municipal/Comissão Provisória - DEM - SÃO PAULO - SP,2018-07-19,600000,TRANSFERÊNCIAS FINANCEIRAS EFETUADAS - FUNDO PARTIDÁRIO - DIREÇÃO MUNICIPAL - ORDINÁRIAS
SP,PL,PARTIDO LIBERAL,Direção Nacional - PR,2018-10-05,600000,TRANSFERÊNCIAS FINANCEIRAS EFETUADAS - FUNDO PARTIDÁRIO - DIREÇÃO NACIONAL - ORDINÁRIAS
SP,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,NOVA ESTRATEGIA COMUNICACAO LTDA.,2018-08-03,470000,CONVENÇÕES PARTIDÁRIAS - ORDINÁRIAS
SP,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,POENTE COMUNICACAO LTDA ME,2018-07-05,450000,OUTROS ORDINÁRIAS
SP,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,POENTE COMUNICACAO LTDA ME,2018-07-06,450000,OUTROS ORDINÁRIAS
SP,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,CONCEPTUAL CONSULTORIA EIRELI,2018-07-05,420000,OUTROS ORDINÁRIAS
SP,SDD,SOLIDARIEDADE,CENTRO DE ESTUDOS DE DIREITO PUBLICO - CEDP,2018-07-18,267472.5,SERVIÇOS TÉCNICO-PROFISSIONAIS - OUTROS SERVIÇOS TÉCNICOS E PROFISSIONAIS - ORDINÁRIAS
TO,PSB,PARTIDO SOCIALISTA BRASILEIRO,MANZANO SOCIEDADE INDIVIDUAL DE ADVOCACIA-EIRELI,2018-04-26,150000,SERVIÇOS TÉCNICO-PROFISSIONAIS - SERVIÇOS DE CONSULTORIA JURÍDICA - ORDINÁRIAS
TO,PL,PARTIDO LIBERAL,MOREIRA E NOLETO LTDA ME,2018-04-12,100000,PESQUISAS E TESTES DE OPINIÃO PÚBLICA - ORDINÁRIAS
TO,PL,PARTIDO LIBERAL,MOREIRA E NOLETO LTDA ME,2018-03-06,95000,PESQUISAS E TESTES DE OPINIÃO PÚBLICA - ORDINÁRIAS
TO,PL,PARTIDO LIBERAL,MOREIRA E NOLETO LTDA ME,2018-05-08,95000,PESQUISAS E TESTES DE OPINIÃO PÚBLICA - ORDINÁRIAS
TO,PL,PARTIDO LIBERAL,MOREIRA E NOLETO LTDA ME,2018-02-07,78000,PESQUISAS E TESTES DE OPINIÃO PÚBLICA - ORDINÁRIAS
TO,PL,PARTIDO LIBERAL,MOREIRA E NOLETO LTDA ME,2018-08-03,70000,PESQUISAS E TESTES DE OPINIÃO PÚBLICA - ORDINÁRIAS
TO,SDD,SOLIDARIEDADE,"INSTITUTO GAUSS DE PESQ SOCIAIS, ECON. E DE OPINIÃO PUBL LT",2018-06-11,55000,PESQUISAS E TESTES DE OPINIÃO PÚBLICA - ORDINÁRIAS
TO,PL,PARTIDO LIBERAL,MOREIRA E NOLETO LTDA ME,2018-07-09,50000,PESQUISAS E TESTES DE OPINIÃO PÚBLICA - ORDINÁRIAS
TO,PL,PARTIDO LIBERAL,VICENTE ALVES DE OLIVEIRA,2018-12-28,46800,TRANSPORTES E VIAGENS - FRETAMENTO DE AERONAVES - ORDINÁRIAS
TO,PT,PARTIDO DOS TRABALHADORES,RENAULT DO BRASIL  SA,2018-05-24,41063,ATIVO PERMANENTE - BENS MÓVEIS - VEÍCULOS
